ID,Count,Year,Month,Day,DateFull
0,2,2016,1,14,1/14/2016
1,1,2016,2,8,2/8/2016
2,4,2016,2,9,2/9/2016
3,5,2016,2,10,2/10/2016
4,5,2016,2,11,2/11/2016
5,1,2016,2,12,2/12/2016
6,1,2016,2,14,2/14/2016
7,8,2016,2,15,2/15/2016
8,4,2016,2,16,2/16/2016
9,3,2016,2,17,2/17/2016
10,6,2016,2,18,2/18/2016
11,5,2016,2,19,2/19/2016
12,1,2016,2,20,2/20/2016
13,7,2016,2,22,2/22/2016
14,2,2016,2,23,2/23/2016
15,4,2016,2,24,2/24/2016
16,1,2016,2,25,2/25/2016
17,3,2016,3,1,3/1/2016
18,6,2016,3,2,3/2/2016
19,3,2016,3,3,3/3/2016
20,4,2016,3,4,3/4/2016
21,1,2016,3,6,3/6/2016
22,6,2016,3,7,3/7/2016
23,5,2016,3,8,3/8/2016
24,3,2016,3,9,3/9/2016
25,3,2016,3,10,3/10/2016
26,3,2016,3,11,3/11/2016
27,1,2016,3,12,3/12/2016
28,5,2016,3,14,3/14/2016
29,3,2016,3,15,3/15/2016
30,2,2016,3,16,3/16/2016
31,3,2016,3,17,3/17/2016
32,2,2016,3,18,3/18/2016
33,1,2016,3,19,3/19/2016
34,2,2016,3,21,3/21/2016
35,7,2016,3,22,3/22/2016
36,45,2016,3,23,3/23/2016
37,42,2016,3,24,3/24/2016
38,23,2016,3,25,3/25/2016
39,13,2016,3,26,3/26/2016
40,19,2016,3,27,3/27/2016
41,40,2016,3,28,3/28/2016
42,46,2016,3,29,3/29/2016
43,51,2016,3,30,3/30/2016
44,36,2016,3,31,3/31/2016
45,59,2016,4,1,4/1/2016
46,16,2016,4,2,4/2/2016
47,19,2016,4,3,4/3/2016
48,46,2016,4,4,4/4/2016
49,58,2016,4,5,4/5/2016
50,56,2016,4,6,4/6/2016
51,89,2016,4,7,4/7/2016
52,45,2016,4,8,4/8/2016
53,25,2016,4,9,4/9/2016
54,17,2016,4,10,4/10/2016
55,63,2016,4,11,4/11/2016
56,63,2016,4,12,4/12/2016
57,50,2016,4,13,4/13/2016
58,50,2016,4,14,4/14/2016
59,4,2016,4,15,4/15/2016
60,12,2016,4,17,4/17/2016
61,48,2016,4,18,4/18/2016
62,45,2016,4,19,4/19/2016
63,52,2016,4,20,4/20/2016
64,53,2016,4,21,4/21/2016
65,56,2016,4,22,4/22/2016
66,1,2016,4,23,4/23/2016
67,10,2016,4,24,4/24/2016
68,46,2016,4,25,4/25/2016
69,61,2016,4,26,4/26/2016
70,47,2016,4,27,4/27/2016
71,45,2016,4,28,4/28/2016
72,50,2016,4,29,4/29/2016
73,10,2016,4,30,4/30/2016
74,5,2016,5,1,5/1/2016
75,39,2016,5,2,5/2/2016
76,36,2016,5,3,5/3/2016
77,44,2016,5,4,5/4/2016
78,53,2016,5,5,5/5/2016
79,4,2016,5,6,5/6/2016
80,3,2016,5,8,5/8/2016
81,39,2016,5,9,5/9/2016
82,51,2016,5,10,5/10/2016
83,58,2016,5,11,5/11/2016
84,55,2016,5,12,5/12/2016
85,3,2016,5,13,5/13/2016
86,38,2016,5,16,5/16/2016
87,59,2016,5,17,5/17/2016
88,61,2016,5,18,5/18/2016
89,54,2016,5,19,5/19/2016
90,72,2016,5,20,5/20/2016
91,18,2016,5,21,5/21/2016
92,20,2016,5,22,5/22/2016
93,50,2016,5,23,5/23/2016
94,70,2016,5,24,5/24/2016
95,69,2016,5,25,5/25/2016
96,75,2016,5,26,5/26/2016
97,63,2016,5,27,5/27/2016
98,25,2016,5,28,5/28/2016
99,23,2016,5,29,5/29/2016
100,34,2016,5,30,5/30/2016
101,64,2016,5,31,5/31/2016
102,53,2016,6,1,6/1/2016
103,56,2016,6,2,6/2/2016
104,56,2016,6,3,6/3/2016
105,18,2016,6,4,6/4/2016
106,14,2016,6,5,6/5/2016
107,62,2016,6,6,6/6/2016
108,56,2016,6,7,6/7/2016
109,50,2016,6,8,6/8/2016
110,51,2016,6,9,6/9/2016
111,50,2016,6,10,6/10/2016
112,20,2016,6,11,6/11/2016
113,23,2016,6,12,6/12/2016
114,53,2016,6,13,6/13/2016
115,58,2016,6,14,6/14/2016
116,37,2016,6,16,6/16/2016
117,62,2016,6,17,6/17/2016
118,15,2016,6,18,6/18/2016
119,10,2016,6,19,6/19/2016
120,33,2016,6,20,6/20/2016
121,95,2016,6,21,6/21/2016
122,149,2016,6,22,6/22/2016
123,136,2016,6,23,6/23/2016
124,174,2016,6,24,6/24/2016
125,32,2016,6,25,6/25/2016
126,42,2016,6,26,6/26/2016
127,134,2016,6,27,6/27/2016
128,135,2016,6,28,6/28/2016
129,137,2016,6,29,6/29/2016
130,130,2016,6,30,6/30/2016
131,64,2016,7,1,7/1/2016
132,22,2016,7,2,7/2/2016
133,37,2016,7,3,7/3/2016
134,86,2016,7,4,7/4/2016
135,162,2016,7,5,7/5/2016
136,148,2016,7,6,7/6/2016
137,141,2016,7,7,7/7/2016
138,143,2016,7,8,7/8/2016
139,32,2016,7,9,7/9/2016
140,33,2016,7,10,7/10/2016
141,130,2016,7,11,7/11/2016
142,109,2016,7,12,7/12/2016
143,126,2016,7,13,7/13/2016
144,129,2016,7,14,7/14/2016
145,101,2016,7,15,7/15/2016
146,32,2016,7,16,7/16/2016
147,4,2016,7,17,7/17/2016
148,96,2016,7,18,7/18/2016
149,138,2016,7,19,7/19/2016
150,143,2016,7,20,7/20/2016
151,136,2016,7,21,7/21/2016
152,148,2016,7,22,7/22/2016
153,36,2016,7,23,7/23/2016
154,37,2016,7,24,7/24/2016
155,129,2016,7,25,7/25/2016
156,162,2016,7,26,7/26/2016
157,136,2016,7,27,7/27/2016
158,154,2016,7,28,7/28/2016
159,146,2016,7,29,7/29/2016
160,49,2016,7,30,7/30/2016
161,46,2016,7,31,7/31/2016
162,144,2016,8,1,8/1/2016
163,137,2016,8,2,8/2/2016
164,67,2016,8,3,8/3/2016
165,125,2016,8,4,8/4/2016
166,165,2016,8,5,8/5/2016
167,33,2016,8,6,8/6/2016
168,41,2016,8,7,8/7/2016
169,129,2016,8,8,8/8/2016
170,159,2016,8,9,8/9/2016
171,147,2016,8,10,8/10/2016
172,146,2016,8,11,8/11/2016
173,160,2016,8,12,8/12/2016
174,39,2016,8,13,8/13/2016
175,46,2016,8,14,8/14/2016
176,153,2016,8,15,8/15/2016
177,141,2016,8,16,8/16/2016
178,122,2016,8,17,8/17/2016
179,128,2016,8,18,8/18/2016
180,140,2016,8,19,8/19/2016
181,41,2016,8,20,8/20/2016
182,43,2016,8,21,8/21/2016
183,114,2016,8,22,8/22/2016
184,155,2016,8,23,8/23/2016
185,159,2016,8,24,8/24/2016
186,124,2016,8,25,8/25/2016
187,132,2016,8,26,8/26/2016
188,45,2016,8,27,8/27/2016
189,49,2016,8,28,8/28/2016
190,161,2016,8,29,8/29/2016
191,157,2016,8,30,8/30/2016
192,164,2016,8,31,8/31/2016
193,183,2016,9,1,9/1/2016
194,139,2016,9,2,9/2/2016
195,42,2016,9,3,9/3/2016
196,28,2016,9,4,9/4/2016
197,81,2016,9,5,9/5/2016
198,197,2016,9,6,9/6/2016
199,143,2016,9,7,9/7/2016
200,159,2016,9,8,9/8/2016
201,186,2016,9,9,9/9/2016
202,54,2016,9,10,9/10/2016
203,42,2016,9,11,9/11/2016
204,167,2016,9,12,9/12/2016
205,160,2016,9,13,9/13/2016
206,148,2016,9,14,9/14/2016
207,171,2016,9,15,9/15/2016
208,139,2016,9,16,9/16/2016
209,34,2016,9,17,9/17/2016
210,39,2016,9,18,9/18/2016
211,119,2016,9,19,9/19/2016
212,126,2016,9,20,9/20/2016
213,105,2016,9,21,9/21/2016
214,96,2016,9,22,9/22/2016
215,161,2016,9,23,9/23/2016
216,44,2016,9,24,9/24/2016
217,27,2016,9,25,9/25/2016
218,178,2016,9,26,9/26/2016
219,164,2016,9,27,9/27/2016
220,158,2016,9,28,9/28/2016
221,158,2016,9,29,9/29/2016
222,155,2016,9,30,9/30/2016
223,44,2016,10,1,10/1/2016
224,38,2016,10,2,10/2/2016
225,170,2016,10,3,10/3/2016
226,166,2016,10,4,10/4/2016
227,166,2016,10,5,10/5/2016
228,112,2016,10,6,10/6/2016
229,185,2016,10,7,10/7/2016
230,44,2016,10,8,10/8/2016
231,3,2016,10,9,10/9/2016
232,69,2016,10,10,10/10/2016
233,180,2016,10,11,10/11/2016
234,143,2016,10,12,10/12/2016
235,160,2016,10,13,10/13/2016
236,181,2016,10,14,10/14/2016
237,48,2016,10,15,10/15/2016
238,52,2016,10,16,10/16/2016
239,178,2016,10,17,10/17/2016
240,163,2016,10,18,10/18/2016
241,181,2016,10,19,10/19/2016
242,169,2016,10,20,10/20/2016
243,151,2016,10,21,10/21/2016
244,51,2016,10,22,10/22/2016
245,54,2016,10,23,10/23/2016
246,166,2016,10,24,10/24/2016
247,166,2016,10,25,10/25/2016
248,174,2016,10,26,10/26/2016
249,160,2016,10,27,10/27/2016
250,5,2016,10,29,10/29/2016
251,36,2016,10,30,10/30/2016
252,155,2016,10,31,10/31/2016
253,169,2016,11,1,11/1/2016
254,175,2016,11,2,11/2/2016
255,182,2016,11,3,11/3/2016
256,172,2016,11,4,11/4/2016
257,45,2016,11,5,11/5/2016
258,42,2016,11,6,11/6/2016
259,178,2016,11,7,11/7/2016
260,196,2016,11,8,11/8/2016
261,182,2016,11,9,11/9/2016
262,182,2016,11,10,11/10/2016
263,156,2016,11,11,11/11/2016
264,45,2016,11,12,11/12/2016
265,47,2016,11,13,11/13/2016
266,173,2016,11,14,11/14/2016
267,171,2016,11,15,11/15/2016
268,210,2016,11,16,11/16/2016
269,197,2016,11,17,11/17/2016
270,189,2016,11,18,11/18/2016
271,37,2016,11,19,11/19/2016
272,60,2016,11,20,11/20/2016
273,209,2016,11,21,11/21/2016
